input,target
"O çok değil, öyle değil mi?","Bu çok değil, çok mu?"
Neye gülüyorsunuz?,Sizi çok güldürecek ne oldu?
Ne zaman eve döneceksin?,Nereden başlıyoruz?
Paris'te miydiniz?,Paris'te miydiler?
Tom'un hâlâ hayatta olduğunu düşünüyor musun?,Sence Tom hala yaşıyor mu?
En sevdiğiniz müzik nedir?,Ne tür müzik dinlemeyi seversin?
Hiç okulu atlattın mı?,Hiç okuldan kaçtın mı?
Sadece acele eder misin?,Acele edebilir misin?
Barmen nerede?,Garson nerede?
Yüzemediğin doğru mu?,Gerçekten yüzemez misin?
Onları nerede kestin?,Onları nerede patakladın?
Ne kadar ödememiz gerekiyor?,Ne kadar ödemek zorundayız?
Saat kaçta eve gidersin?,Ne zaman ayrılacağız?
Ofiste her şey iyi mi?,Ofiste işler nasıl?
Ne zaman başlatırız?,Nereden başlıyoruz?
Oda numaranızı alabilir miyim?,"Sizin oda numaranız, lütfen?"
Hâlâ uykulu musun?,Yorgun musun?
Biraz daha sos ister misin?,Biraz daha sos alır mıydınız?
Niçin onları durdurmadın?,Niçin onları durdurmadınız?
Sigara içmeye karşı mısınız?,Burada sigara içebilir miyim?
Bu sabah kahvaltı ettin mi?,Henüz akşam yemeğini yedin mi?
Kim bir parça pasta ister?,Kim bir dilim pasta ister?
Onunla daha önce karşılaştın mı?,Onunla buluştun mu?
Nasıl uyuyordun?,Yeterince uyuyor musun?
Dişini doğru dürüst fırçalıyor musun?,Dişlerini gereği gibi fırçalıyor musun?
San Francisco'yu sever misiniz?,San Francisco'yu beğenir misiniz?
Alet kutusunda bir törpün var mı?,Alet kutusunda bir eğen var mı?
Hepiniz delirdiniz mi?,Hepiniz aklınızı kaybettiniz mi?
Sonraki durak nedir?,Gelecek istasyon hangisi?
O gerçekten buna değer miydi?,Bu gerçekten buna değer mi?
Biz ne zaman başlarız?,Ne zaman ayrılıyorsun?
Sizce Tom bunu yapacak mı?,Tom'un bunu yapacağını düşünüyor musun?
Neden acele ediyorsun?,Niçin öyle hızlısın?
Hiç birini öldürdün mü?,Birini öldürdün mü hiç?
O iyi uyudu mu?,Yeterli uyku uyuyor musun?
Neden herkes gülüyor?,Neye gülüyorsun?
Tom'a ne diyeceğim?,Tom'a ne söylemem gerekir?
"Burada mı, paket mi?",Bu burada yemek için mi yoksa götürmek için mi?
Kahve ister misin?,Kahve içmekten keyif alıyor musun?
Ne giyinmeliyim?,Orada giderken ne giyeyim?
İlk ne yapacağız?,Kaçta geri geleceksin?
Karımı gördün mü?,Karımı gördünüz mü?
Kaç kardeşin var?,Kaç tane kardeşin var?
Tom'a ne söylemek istersin?,Tom'a ne söylerim?
Bugünün planı nedir?,Bugün ne yapmalıyız?
Neden sadece onu yapmıyorsun?,Neden bunu yapmıyorsunuz?
Biraz kahveye ne dersin?,Bir bardak daha çay alır mısın?
Ne zaman ayrılıyorsun?,Ne zaman gidiyoruz?
Bana ne kadar indirim verebilirsin?,Ne kadar indirim yapabilirsin?
Bir fincan kahve içmek ister misiniz?,Bir fincan çay daha ister misin?
Biz nerede başlayacağız?,Ne zaman eve gidiyorsun?
Ne zaman yola çıkacağız?,Nereden başlarız?
O ne zaman başlayacak?,Ne zaman döneceksiniz?
Siz yemeyecek misiniz?,Yemeyecek misin sen?
Kim olduğumu hatırlıyor musun?,Hatırladınız mı?
Dün neden gelemedin?,Dün neden gelmediniz?
Neden bizi çağırmadınız?,Neden bizi çağırmadın?
Hangi bilgiye ihtiyaç duyuyorsun?,Ne öğrenmek istersin?
Bir fincan kahve ister misiniz?,Biraz çay almaz mısın?
Onun adını bildin mi?,"Onun adını biliyorsun, değil mi?"
Neden Tom'la gitmediniz?,Neden Tom ile gitmediniz?
Bana atıfta bulunuyor musun?,Sen benim hakkımda mı konuşuyorsun?
Niçin İngilizce öğreniyorsun?,Niçin İngilizce eğitimi alıyorsun?
Ben nereye başlarım?,Eve ne zaman gideceksin?
Hava tahmincisine güvenebilir misin?,Meteoroloji uzmanına güvenebilir misin?
Bu binada mı yaşıyorsun?,Bu binada mı ikamet ediyorsun?
Ne zaman ayrılıyorsun?,Ne zaman geri dönmesi bekleniliyor?
Ne zaman eve gideceksin?,Ne zaman gidelim?
Boston'da hava durumu nasıl?,Boston'da hava nasıl?
Beni tanıyamadın mı?,Beni tanımıyor musun?
2.30'a kadar hazır olacak mısın?,2.30'a kadar hazır olur musun?
Nereden başlamalıyım?,Eve ne zaman geri döneceksin?
Ne zaman gidiyorsun?,Nerede başlarım?
Şaka yaptığımı mı düşündün?,Benimle oynamayı düşünür müsün?
Bu bayanlar Fransızca konuşuyor mu?,Fransızca konuşabilir misiniz?
İstediğini aldın mı?,İstediğinizi aldınız mı?
Neden bunu soruyorsun?,Niye benden istiyorsun?
Onlar ne satıyor?,Ne satıyorlar?
Bunu nasıl yemeliyim?,Bunu nasıl yiyorsun?
Tom onu kimle yapmak istiyordu?,Tom onu kiminle yapmak istediğini düşündü?
Bu yapmak için doğru şey mi?,Yapılması doğru olan bu mu?
Tom'un cevabı neydi?,Tom nasıl yanıtladı?
Buna niçin ihtiyacınız var?,Buna niçin ihtiyacın var?
Bunu buraya koyabilir miyim?,Bunu buraya koyarsam bir sakıncası var mı?
"Hayat nasıl gidiyor, Tom?","Tom, nasılsın?"
Sesi kısar mısınız?,Biraz daha yumuşak konuşur musunuz?
Bu kravat ne kadar?,Bu kravat kaç para?
Sence onu ne zaman görürsün?,Onu ne zaman göreceğini düşünüyorsun?
Masanın üstündeki nedir?,Masanın içindeki nedir?
Neden Tom ile değilsiniz?,Neden Tom'un mekanında değilsin?
Kazandık mı?,Ben kazandım mı?
Sen kimseyle görüşmüyor musun?,Kimseyle çıkmıyor musun?
Bana iyi bir oyun tavsiye edebilir misin?,İyi bir oyun tavsiye edebilir misiniz?
Saat kaçta çıkıyoruz?,Bu ne zaman varacak?
"Biz arkadaşız, değil mi?","Birbirimize ilgi duyuyoruz, değil mi?"
Japoncada benzer bir deyişiniz var mı?,Japonya'da benzer bir atasözü var mı?
Neden ders çalışmıyorsunuz?,Niye çalışmıyorsun?
Ne zaman eve döneceksin?,Ne zaman gideriz?
Ne zaman eve gidiyorsun?,Ne zaman başlar?
"Yüzemezsin, değil mi?","Sen yüzemiyorsun, öyle değil mi?"
Bana bir kalem ödünç verebilir misin?,Kısa bir süre için kalemini ödünç alabilir miyim?
Bu kitabın yazarı kimdir?,Bu kitap kimin?
Şarap mı içmeniz lazım?,Biraz şarap ister misin?
Yaraların var mı?,Yaralandın mı?
Genellikle kahvaltıda ne yersiniz?,Kahvaltıda ne yersiniz?
O sana bakmaya devam etti. Fark etmedin mi?,O sana bakıp duruyordu. Fark etmedin mi?
Tom ne taşıyor?,Tom ne oldu?
Bir fincan çay ister misiniz?,Kahve ister misin?
Sen ve Tom arkadaş mısınız?,Tom'la arkadaş mısınız?
Ben ne yapıyorum?,Ne yapıyorum?
Ne zaman ayrılıyorsunuz?,Eve ne zaman gideceksin?
Ev ödevini ne zaman bitireceksin?,Ev ödevin ne zaman hazır olacak?
Nerede tanıştınız?,Onunla ilk olarak nerede tanıştınız?
Sen bana ne meydana geldiğini anlatabilir misin?,Onun ne olduğunu bana söyleyebilir misiniz?
Milano'dan ne zaman döneceksin?,Ne zaman Milan'dan geri döneceksin?
Sen beni ne zamandan beri tanıyorsun?,Sen beni ne zaman tanıdın?
"Hayat nasıl gidiyor, Tom?","Nasıl hissediyorsun, Tom?"
"Sen kahvaltını ettin, değil mi?",Kahvaltı yapmış mıydın?
Henüz kahvaltını yaptın mı?,Kahvaltı yapmış mıydın?
Sürücü belgeniz var mı?,Sürücü belgen yok mu?
O senin mi?,Bunu sahibi sen misin?
Hangi gazete için çalışıyorsun?,Hangi gazete için çalışıyorsunuz?
Beni hatırlıyor musun?,Beni hatırlıyorlar mı?
Müzisyen misin?,Bir müzisyen misiniz?
Saat kaçta geliyorsun?,Nereden başlamalıyım?
Onu ne zaman gördün?,Onunla ne zaman tanıştınız?
Sözlüğünüzü bana ödünç verir misiniz?,Sözlüğünü bir dakikalığına kullanabilir miyim?
Kaç tane erkek ve kız kardeşin var?,Kaç tane kız kardeşin var? Kaç tane erkek kardeşin?
Henüz vardınız mı?,O hâlâ orada mı?
Hepiniz deli misiniz?,Hepiniz aklınızı kaybettiniz mi?
Bir şey unutmuyor musunuz?,Bir şey unutmadığınızdan emin misiniz?
Sizin avukatınızın adı ne?,Sizin avukatınızın ismi ne?
Hareket saati nedir?,"O, eve ne zaman dönecek?"
Burada kalmanın güvenli olduğunu düşünüyor musun?,Sence burada kalmak güvenli mi?
"Biz yokken evle ilgilen, tamam mı?",Ben yokken yerle ilgilenir misin?
Ne zaman geri geliyorsun?,Ne zaman gelirsin?
En iyi olanı hangisi?,Hangi biri daha iyi?
Kim olduğumu hatırlıyor musun?,Beni hatırlıyorlar mı?
Nerede aramaya başlayacağız?,Biz nasıl başlarız?
Neden benden hoşlanmıyor?,Neden beni sevmiyorsun?
Hangisiyle başlayayım?,Eve ne zaman gideceksin?
İlkbaharı mı yoksa son baharı mı tercih edersin?,"İlkbaharı mı, sonbaharı mı daha çok seviyorsun?"
Pasaportun ne zamana kadar geçerli?,Senin pasaportunun geçerlilik süresi ne zaman doluyor?
Kim seni yumrukladı?,Sana kim vurdu?
Bu neden önemli?,Ne fark edecek ki?
Hiç onu çağırdın mı?,Hiç onu aradın mı?
Robin Hood hayatta mı?,Robin Hood yaşıyor mu?
Tom'un tepkisi neydi?,Tom'dan bir cevap aldın mı?
"O, Tom'a mı ait?","Sen Tom'sun, öyle değil mi?"
Biraz şarap ister misiniz?,Biraz şarap ister misin?
Neden her zaman bu kadar kızgınsın?,Neden hep bu kadar kötüsün?
Onu niçin yaptım?,Ben bunu neden yaptım?
Ne zaman gelirsin?,Eve ne zaman döneceksin?
Burada sigara içmeye izin veriliyor mu?,Sigara içmemin sizce bir sakıncası var mı?
Bir şeyden korkuyor musun?,Bir şeyden korkuyor musunuz?
Ben nereye başlarım?,Eve ne zaman geliyorsun?
Ne zaman gittin?,Nerede aramaya başlayacağız?
Bunu kim aldı?,Onu kim aldı?
"Tom neredeyse hazır, değil mi?","Tom bitirmek üzere, değil mi?"
Odamıza nasıl girdiniz?,Nasıl oldu da odamıza girdin?
Ne zaman eve gideceksin?,Ne zaman geri döndü?
İstasyona giden yolu bana söyler misiniz?,İstasyona nasıl gidebilirim?
Onlara yardım edecek misin?,Onlara yardım etmeyi düşünüyor musunuz?
Tom onu aradığımızı nasıl bildi?,Tom onu aradığımızı nereden biliyordu?
Onları nerede sıktın?,Onların suyunu nerede sıktın?
Ben açım. Peki ya sen?,Ben açım. Ya sen?
Fransızca konuşamıyor musun?,Fransızca konuşamaz mısın?
Karın evde mi?,Karınız evde mi?
O kişiyi tanıyor musunuz?,O adamı tanıyor musun?
O araba Jamal'a mı ait?,O araba Jamal'e mi ait?
Her gün koşar mısın?,Her gün çalışır mısın?
Erkek kardeşinin adı Alexei mi?,Senin erkek kardeşinin adı Alexej mi?
Her şey nasıldı?,O nasıldı?
Gülmemeyi nasıl başardın?,Nasıl gülmeden durabildin?
Buraya ne yazmam gerekiyor?,Buraya ne yazayım?
Sözleşmeyi imzaladın mı?,Sözleşmeyi imzaladınız mı?
Kredi kartı ile ödeyebilir miyim?,Ödeme için kredi kartı kullanabilir miyim?
Kanada'nın neresindensin?,Kanada'nın hangi bölgesinden geliyorsun?
Her gün o koşar mı?,Her gün koşuyor musunuz?
O saat kaçta kapanır?,Saat kaçta kapanır?
Bana izin verebilir misin?,Beni affeder misiniz?
Soruyu tekrarlamama ihtiyacın var mı?,Soruyu yinelememi ister misin?
Biz neyi yanlış yaptık?,Onu yapma şeklimizde sorun ne?
Ne tür müziklerden hoşlanıyorsun?,Ne tür kitaplardan hoşlanırsınız?
Ne tür bir insansın?,Sen ne tür bir kişisin?
"Tom nahoş, değil mi?","Tom nahoş oluyor, değil mi?"
Başka ne yapmanız gerekiyor?,Başka ne yapmalısınız?
Otelden memnun musun?,Otelden memnun kaldiniz mi?
Bir şey unutmuyor musunuz?,Bir şey mi unutuyorum?
Memnun değil misin?,Memnun değil misiniz?
Henüz ev ödevini yapmayı bitirdin mi?,Ev ödevini bitirdin mi?
Kürtajı destekliyor musun yoksa karşı mı çıkıyorsun?,Kürtajı destekler misin yoksa karşımısın?
Hangi trene bineceksin?,Hangi trenle geleceksin?
Pazar günü çalışmaya ihtiyacın var mı?,Pazar günleri çalışır mısın?
Boston'da yanında kim olacak?,Boston'da seninle birlikte kim olacak?
Neden beni aramadın?,Neden aramadın?
Ne zaman ulaşırsın?,Ne zaman geri dönmesi bekleniliyor?
Tom nasıl tepki verdi?,Tom nasıl tepki gösterdi?
Hâlâ uyumuyor musun?,Uyuyor mu?
O bebek neden ağlıyor?,Bebek niçin ağlıyor?
Yönetici kimdir?,Kim denetimde?
Lakabın ne?,Senin rumuzun ne?
"O, tekrar ne zaman eve gelecek?",Biz ne zaman başlarız?
Ne kadar bira içtin?,Kaç tane bira içtin?
Eve ne zaman geri döneceksin?,Ne zaman eve döneceksin?
Ne zaman geleceksin?,Se ne zaman gidiyorsun?
Onu denemek ister misin?,Denemek ister misin?
Onlarla konuşmak istemiyor musun?,Onlarla konuşmak istemiyor musunuz?
Şartlar nedir?,Şartlar nelerdir?
Bugün günlerden ne?,Bugün ne gün?
Ne zaman mezun oldunuz?,Dereceni nerede aldın?
Onu sana ne düşündürdü?,Neden böyle düşünüyorsunuz?
Kimi daha çok seviyorsunuz?,Hangisini istersiniz?
"Şimdi canını sıkan ne, Tom?",Nerelerdeydin Tom?
"Bir sorun var mı, Tom?","Bir sorun mu var, Tom?"
Senin için yapabileceğim herhangi bir şey var mı?,Ben bir şey yapabilir miyim?
Gürültüye dayanabiliyor musun?,Gürültüye nasıl katlanıyorsunuz?
Tom onu neden yapıyor?,Tom bunu nasıl yapabilir?
Tom onu yapabilir miydi?,Tom bunu yapmış olabilir mi?
Nasıl başa çıkıyorsun?,Nasıl baş ediyorsun?
Favori şiirin hangisidir?,En sevdiğin şiir nedir?
Son kararınız mı?,Son kararın mı?
Sizin dün buraya gelmenizi ne engelledi?,Neden dün gelemedin?
Onu nasıl hecelersiniz?,Onu nasıl hecelersin?
Arkadaşlarınız nerede?,Arkadaşın kim?
Onu denedin mi?,Bunu hiç denediniz mi?
Tom'un neyi var?,Tom'a ne oldu?
Tom niye öyle davranıyor?,Neden Tom böyle davranıyor?
Mührü kime bastın?,Kimin için oy kullanıyorsun ?
Peki sorun nerede?,Ve sorun nedir?
Türkiye'de nerede yaşıyorsun?,Türkiye'nin neresinde yaşıyorsun?
Pazar çalışmak zorunda mısın?,Pazar günü çalışmaya ihtiyacın var mı?
Yürüyüş için dışarı çıkmayı canın istiyor mu?,Neden yürüyüşe çıkmıyoruz?
Kaç dolgun var?,Senin dolgun kaç tane?
Hâlâ onlara kızgın mısın?,Onlara hâlâ kızgın mısın?
Ne zaman ayrılacaksın?,Nerede başlayalım?
Senin için yazdığım şiiri beğeniyor musun?,Senin için yazdığım şiiri istiyor musun?
Onun olacağını nereden bilebilirdim?,Onun olacağını nasıl bilebilirdim?
Hangi konuyu tercih edersin?,En fazla hangi konuyu seviyorsun?
Boş yer var mı?,"Affedersiniz, bu koltuk hala ücretsiz mi?"
O Tom'dan mı?,"Bunlar senin mi, Tom?"
İstasyona giden yolu bana söyler misiniz?,Otobüs hangi numaralı kapıdan kalkıyor?
Lütfen sesini kısar mısın?,Sesini kısar mısın?
Ne zaman eve gideceksin?,Neyle başlayayım?
Öğle yemeğini nerede yiyeceğinize karar verdiniz mi?,Nerede öğle yemeği yiyeceğimize karar verdin mi?
Seni gücendirdim mi?,Duygularını incittim mi?
Neden diller listesi Maltaca içermiyor?,Diller listesinde neden Malta dili yok?
"Almancada nasıl ""güle güle"" denir?","Almancada nasıl ""hoşça kal"" denir?"
O kalın kitabı okudun mu?,O kalın kitabı gördün mü?
Onun adını bildin mi?,Onun adını biliyor musun?
Diğer adamlar nerede?,Herkes nereye kayboldu?
Rusya'da asgari ücret ne kadar?,Rusya'daki en düşük maaş nedir?
Bugün için planın nedir?,Bugün ne yapmamız gerekiyor?
Soruyu yinelememi ister misiniz?,Soruyu yinelememi ister misin?
Henüz mü karar verdin?,Karar aldın mı?
Bu resmin nesi yanlış?,Bu resimde yanlış olan nedir?
Hangisi ile başlayayım?,"O, ne zaman dönecek?"
Eve ne zaman geliyorsun?,Ne zaman eve geleceksin?
Se ne zaman gidiyorsun?,Saat kaçta geliyorsunuz?
Ona sorduğun neydi?,Onlara sorduğun neydi?
Sen hâlâ uyanık mısın?,Uyandın mı?
Odanız ne kadar büyüktür?,Odan ne kadar büyük?
Neden Tom'la değilsiniz?,Neden Tom'la değilsin?
Onu denedin mi?,Bunu denedin mi?
Birisini görüyor musun?,Birisini görüyor musunuz?
Kendinizi ne sanıyorsunuz?,Onun kim olduğunu düşünüyorsun?
Ne zaman gidiyor olacaksın?,Ne zaman varırsın?
Koltuklar müsait mi?,"Afedersiniz, bu sandalye dolu mu?"
Neden bana inanmıyorsunuz?,Neden bana inanmıyorsun?
Onu nerede tanıdın?,Birbirinizle nerede buluştunuz?
Kaç yaşındasın?,O kaç yaşında?
"Evren kozmik bir yumurta ise, onu kim yumurtladı?","Evren bir kozmik yumurta ise, o zaman onu kim yumurtladı?"
Komisyonunuz nedir?,Ne kadar alıyorsunuz?
Aciliyet nedir?,Acil durum nedir?
Uykulu musunuz?,Uyumak ister misin?
Saat kaçta çalışmaya başlıyorsunuz?,İşe ne zaman başlıyorsun?
Tom ne yapıyor?,Tom ne pişiriyor?
"Sorun nedir, Tom?","Tom, nasılsın?"
Sonunun bizim gibi olmasını ister misin?,Sonunuzun bizim gibi olmasını ister misiniz?
Zengin olduğun için mutlu değil misin?,Zengin olduğuna memnun değil misin?
Neden yürüyüşe çıkmıyoruz?,Yürüyüşe çıkmak ister misin?
Şu bir erkek çocuk mu yoksa kız çocuk mu?,O bir kız mı yoksa oğlan mı?
Tom'a ne satın alacağını söyledin mi?,Tom'a ne alacağını söyledin mi?
Facebook'ta mısınız?,Facebook'ta mısın?
Oğlumu gördün mü?,Oğlumu görmüş müydün?
Doha'yı haritada bulabilir misin?,Haritada Doha'yı bulabiliyor musun?
Bir dolar borç verebilir misin?,Bana bir dolar borç verir misin?
Lütfen soruyu tekrarlar mısın?,Soruyu tekrarlayabilir misiniz lütfen?
Neden beni aramadın?,Neden beni çağırmadınız?
En iyi olanı hangisi?,Ne iyidir?
Bir dilim tart daha alır mısın?,Biraz daha kek ister misin?
Yeni misin?,Burada yeni misiniz?
Bizim oraya zamanında varabileceğimizi düşünüyor musun?,Oraya zamanında varacağımızı düşünüyor musunuz?
Parayla ne yapmayı düşünüyorsunuz?,"Öyleyse, neden paraya ihtiyacın var?"
Kim ayrıldı?,Kim istifa etti?
O senin mi?,"O, Tom'a mı ait?"
Ne zaman döndün?,Ne zaman başlatırız?
Bu çok can acıtır mı?,Çok acıyor mu?
Kaçta uyanırsınız?,Genellikle saat kaçta kalkarsın?
Çalgı çalmak için Tom'un evine gidebilir miyim?,Çalgı çalmak için Tom'un evine gitmemde bir sakınca var mı?
Ne zaman haberdar oldun?,Ne zaman öğrendin?
Bu nasıl yapılabilir?,Bunu hangi şekilde yapmak mümkün?
TV programlarından hangisini en çok seviyorsun?,En sevdiğiniz TV gösterisi nedir?
Onları nasıl durduracaksınız?,Onları nasıl durduracaksın?
Ne zaman geri geleceksin?,Ne zaman eve gideceksin?
Hangi müzikten hoşlanırsın?,Ne tür müzik seversin?
Tom müsait mi?,Tom'la temasa geçemez misin?
Uyumak mı istiyorsun?,Uykun var mı?
Ne tür bira içersin?,Ne tür biralar içersin?
O senin neyin olur?,Akrabalık dereceniz nedir?
Sınalgıyı söndürebilir miyim?,TV'nin sesini kısabilir miyim?
Genellikle saat kaçta kalkarsın?,Ne zaman kalkarsın?
"Mary hamile, söyleyemiyor musunuz?",Mary' nin hamile olduğunu göremiyor musun?
Uyanık mısınız?,Henüz yatakta değil misin?
Bir öneri sunabilir miyim?,Öneride bulunmamın bir sakıncası var mı?
O dün neden gelmedi?,Sizin dün buraya gelmenizi ne engelledi?
Neden onu yapmam gerekiyor?,Neden bunu yapmam gerekiyor?
Omletinde peynir ister misin?,Omletinizde peynir ister misiniz?
Biz nasıl başlarız?,Ne zaman çıkacaksın?
O adamları biliyor musun?,O adamları tanıyor musun?
Elektrikli testerem nerede?,Motorlu testerem nerede?
İkiniz birbirinizle nasıl tanıştınız?,Onlarla ilk kez nerede tanıştınız?
Saat kaçta yola çıkıyorsun?,"O, tekrar ne zaman eve gelecek?"
Bunu kullanacak mısın?,Bunu kullanacak mısınız?
Bu kitabı satın aldın mı?,O kitabı aldın mı?
Bay Bingley'i biliyor musunuz?,Bay Bingley'i tanıyor musun?
Tom geçimini hala ebeveynlerinden mi sağlıyor?,Tom hâlâ ebeveynlerine güveniyor mu?
Suçlayacak kim var?,O kimin hatası?
Hedef kitle kimdi?,Hedef dinleyici kimdi?
Seninle nasıl temas kurabilirim?,Seninle nasıl bağlantı kurabilirim?
Uyumada problem yaşıyor musun?,Uyumada problem yaşıyor musunuz?
Bugün ne problem görünüyor?,Bugün ne sorun gibi görünüyor?
Sen hâlâ uyanık mısın?,Uyudun mu?
Başarılı mıydın?,Bunu sen mi yaptın?
Sözlüğünüzü bana ödünç verir misiniz?,Sözlüğünü kullanabilir miyim?
Onun sorununun ne olduğunu biliyor musun?,Onun nesi olduğunu biliyor musun?
Ne bilmek istiyorsun?,Ne bilmek istersin?
Pasaportun var mı?,Kimliğin var mı?
Bizden ne saklıyorsun?,Bize anlatmadığın şey ne?
Hanımımı gördünüz mü?,Eşimi gördünüz mü?
Tom nerede kalır?,Tom nerede kalıyor?
Birbirinizle nerede buluştunuz?,Onu nasıl tanıdın?
Onu ne zaman göreceğini düşünüyorsun?,Sence onu ne zaman görürsün?
Neden bunu bildirmedin?,Neden bunu rapor etmedin?
"Bana öyle hitap ederek, ne yaptığını sanıyorsun?",Allah aşkına sen kim olduğunu sanıyorsun?
Ne satın almak istiyorsun?,Satın almak istediğin nedir?
"Tom, bu kitapların hepsi senin mi?",Bunların hepsi Tom'un kitapları mı?
Hangi yol plaja gider?,Plaj hangi yol?
Doktor Burns ya da Bayan Roland'la aynı fikirde misiniz?,Bay Burns'le mi yoksa Bay Roland'la mı aynı fikirdesin?
Yüzmek zorunda mıyım?,Sen yüzebiliyor musun?
Ne zaman varırsın?,Saat kaçta geliyorsunuz?
Tom'a ne oldu?,Tom ne oldu?
Neden Tom'a inanıyorsun?,Tom'a niye inanıyorsun?
Ne zaman gidiyorsun?,Saat kaçta eve gidersin?
Ne zaman ulaşırsın?,Bu ne zaman varacak?
